artist,album,track_name,track_id,popularity,speechiness,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Grant Macdonald,Ram Ranch 43,Ram Ranch 43,69DdLnJDcWPWEEtIA994Pc,0,0.0501,0.227,0.869,5,-3.566,1,0.0501,0.0478,0.0,0.699,0.585,85.0,audio_features,69DdLnJDcWPWEEtIA994Pc,spotify:track:69DdLnJDcWPWEEtIA994Pc,https://api.spotify.com/v1/tracks/69DdLnJDcWPWEEtIA994Pc,https://api.spotify.com/v1/audio-analysis/69DdLnJDcWPWEEtIA994Pc,342951,3
Grant Macdonald,Ram Ranch 44,Ram Ranch 44,2sfgkBu4K4Nm8CxzjePIwp,0,0.219,0.183,0.989,5,-2.884,0,0.219,0.0163,0.0,0.943,0.228,139.36,audio_features,2sfgkBu4K4Nm8CxzjePIwp,spotify:track:2sfgkBu4K4Nm8CxzjePIwp,https://api.spotify.com/v1/tracks/2sfgkBu4K4Nm8CxzjePIwp,https://api.spotify.com/v1/audio-analysis/2sfgkBu4K4Nm8CxzjePIwp,504774,4
Grant Macdonald,Ram Ranch 45,Ram Ranch 45,4m2uepRP5IWrIq5928gixG,0,0.3,0.274,0.976,7,-3.16,0,0.3,0.061,0.0,0.589,0.314,110.247,audio_features,4m2uepRP5IWrIq5928gixG,spotify:track:4m2uepRP5IWrIq5928gixG,https://api.spotify.com/v1/tracks/4m2uepRP5IWrIq5928gixG,https://api.spotify.com/v1/audio-analysis/4m2uepRP5IWrIq5928gixG,487416,4
Grant Macdonald,Ram Ranch 46,Ram Ranch 46,3W4V97CGRw6HGuJ2NpOdm4,1,0.242,0.179,0.956,9,-1.855,1,0.242,0.513,0.0,0.395,0.603,75.769,audio_features,3W4V97CGRw6HGuJ2NpOdm4,spotify:track:3W4V97CGRw6HGuJ2NpOdm4,https://api.spotify.com/v1/tracks/3W4V97CGRw6HGuJ2NpOdm4,https://api.spotify.com/v1/audio-analysis/3W4V97CGRw6HGuJ2NpOdm4,713658,4
Grant Macdonald,Ram Ranch 47,Ram Ranch 47,2J2bgtz5TuWOA9pAMFYxQO,0,0.402,0.244,0.992,1,-2.347,1,0.402,0.403,0.0,0.661,0.49,94.949,audio_features,2J2bgtz5TuWOA9pAMFYxQO,spotify:track:2J2bgtz5TuWOA9pAMFYxQO,https://api.spotify.com/v1/tracks/2J2bgtz5TuWOA9pAMFYxQO,https://api.spotify.com/v1/audio-analysis/2J2bgtz5TuWOA9pAMFYxQO,436069,4
Grant Macdonald,Ram Ranch 48,Ram Ranch 48,5TvRkviQsShZPS41WieqYG,0,0.165,0.512,0.839,7,-6.561,1,0.165,0.00129,0.0,0.405,0.155,124.086,audio_features,5TvRkviQsShZPS41WieqYG,spotify:track:5TvRkviQsShZPS41WieqYG,https://api.spotify.com/v1/tracks/5TvRkviQsShZPS41WieqYG,https://api.spotify.com/v1/audio-analysis/5TvRkviQsShZPS41WieqYG,630613,4
Grant Macdonald,Ram Ranch 49,Ram Ranch 49,46YJQIRcdu1pxA5GN4GL63,0,0.364,0.518,0.938,1,-4.606,1,0.364,0.183,0.0,0.126,0.543,119.698,audio_features,46YJQIRcdu1pxA5GN4GL63,spotify:track:46YJQIRcdu1pxA5GN4GL63,https://api.spotify.com/v1/tracks/46YJQIRcdu1pxA5GN4GL63,https://api.spotify.com/v1/audio-analysis/46YJQIRcdu1pxA5GN4GL63,569173,3
Grant Macdonald,Ram Ranch 50,Ram Ranch 50,1jW0LsPFM8PLvQ2c3OfkM4,0,0.296,0.443,0.883,7,-8.175,1,0.296,0.148,0.0,0.126,0.253,130.206,audio_features,1jW0LsPFM8PLvQ2c3OfkM4,spotify:track:1jW0LsPFM8PLvQ2c3OfkM4,https://api.spotify.com/v1/tracks/1jW0LsPFM8PLvQ2c3OfkM4,https://api.spotify.com/v1/audio-analysis/1jW0LsPFM8PLvQ2c3OfkM4,722931,3
Grant Macdonald,Ram Ranch 51,Ram Ranch 51,21kTNz6Zwb01tzinEniwq3,0,0.269,0.322,0.936,1,-2.529,1,0.269,0.0431,0.0,0.202,0.637,125.23,audio_features,21kTNz6Zwb01tzinEniwq3,spotify:track:21kTNz6Zwb01tzinEniwq3,https://api.spotify.com/v1/tracks/21kTNz6Zwb01tzinEniwq3,https://api.spotify.com/v1/audio-analysis/21kTNz6Zwb01tzinEniwq3,346907,4
Grant Macdonald,Ram Ranch 52,Ram Ranch 52,0pFfh0eiFuMUtbmxPogvpL,0,0.283,0.384,0.941,10,-2.63,0,0.283,0.0735,0.0,0.158,0.312,139.771,audio_features,0pFfh0eiFuMUtbmxPogvpL,spotify:track:0pFfh0eiFuMUtbmxPogvpL,https://api.spotify.com/v1/tracks/0pFfh0eiFuMUtbmxPogvpL,https://api.spotify.com/v1/audio-analysis/0pFfh0eiFuMUtbmxPogvpL,568178,4
